date,user_id,type,value
2019-07-19T13:31:13.168Z,1371,mood,0.870762825012
2019-06-08T13:48:51.934Z,2666,sleep,3.76
2018-11-13T13:44:36.351Z,2802,ruminationStress,3.87784337997
2019-01-09T18:17:19.441Z,2311,sleep,1.44
2019-07-12T18:28:13.372Z,3044,mood,3.0
2018-10-15T04:28:38.913Z,1522,mood,2.4790661335
2018-10-29T13:40:49.420Z,3782,mood,2.76693558693
2019-06-21T17:34:49.920Z,7019,sleep,1.03304505348
2019-02-26T13:56:20.390Z,1822,sleep,1.0
2018-10-29T16:08:54.148Z,2972,sleep,1.76
2019-01-06T11:36:46.540Z,2012,sleep,2.0
2018-11-16T15:55:35.619Z,1208,sleep,3.23845386505
2019-06-16T12:18:13.868Z,8086,sleep,4.0
2018-09-19T17:10:42.194Z,5232,sleep,3.6399999
2019-06-05T16:51:16.722Z,2432,mood,4.0
2019-06-25T12:21:56.179Z,2802,mood,0.848680019379
2018-11-14T20:14:24.395Z,939,sleep,1.85410261154
2019-06-23T01:02:51.087Z,2972,sleep,2.04
2019-07-24T10:51:58.584Z,1822,mood,2.46790266037
2019-07-24T12:40:39.108Z,2025,sleep,3.24
2019-04-03T12:15:25.496Z,2271,mood,0.0
2019-01-01T20:04:53.414Z,2012,sleep,1.0
2019-07-19T11:19:53.639Z,7209,mood,4.0
2018-10-31T17:26:12.374Z,2025,sleep,3.52
2019-06-27T12:17:19.034Z,4612,mood,1.9200001
2019-01-08T21:37:56.835Z,3782,sleep,2.70473241806
2019-01-24T17:13:51.698Z,2762,sleep,1.0
2019-04-04T16:31:54.822Z,2012,mood,2.3600001
2018-09-26T15:25:37.159Z,7707,sleep,1.01172399521
2019-07-16T10:46:08.118Z,2012,sleep,2.72
2018-11-05T05:21:44.254Z,3743,sleep,2.0
2019-06-06T13:24:14.108Z,1309,sleep,3.72
2019-05-21T15:59:28.344Z,1714,sleep,3.82888460159
2019-03-21T12:37:51.530Z,2012,mood,2.0
2018-11-09T23:46:49.976Z,1140,ruminationStress,1.03507041931
2019-03-30T12:35:55.329Z,597,anticipatoryStress,3.63932728767
2018-11-08T01:45:30.029Z,1271,mood,2.70636677742
2018-12-25T14:14:39.685Z,650,sleep,2.1250371933
2019-04-16T21:44:51.766Z,1714,sleep,1.72
2019-04-19T13:24:28.234Z,7468,sleep,2.13316392899
2018-12-17T14:21:05.794Z,2802,sleep,3.0
2019-03-22T14:41:17.363Z,7328,mood,1.05792355537
2018-10-11T15:29:54.151Z,1366,mood,3.16
2019-01-01T14:03:33.733Z,1822,sleep,2.0
2018-11-20T13:38:32.198Z,1471,mood,3.2
2019-04-01T02:14:36.473Z,1044,sleep,0.904872179031
2019-06-08T23:10:18.891Z,2666,ruminationStress,2.22025156021
2018-12-17T19:07:43.210Z,5232,sleep,1.30771970749
2018-10-31T14:58:15.613Z,2025,sleep,2.48906707764
2019-04-27T09:40:51.152Z,2311,mood,0.07999992
2019-02-22T09:02:01.862Z,2802,mood,1.0
2019-02-02T22:47:20.629Z,970,anticipatoryStress,2.0
2019-01-21T14:41:01.980Z,3435,mood,2.0
2019-01-01T16:35:54.067Z,3314,mood,4.0
2018-10-03T02:31:25.712Z,6928,sleep,3.84
2018-11-29T19:02:54.014Z,4209,mood,1.0
2019-05-02T20:42:48.480Z,2198,mood,0.72
2018-10-22T14:25:01.647Z,6299,ruminationStress,4.0
2019-04-24T19:48:47.072Z,1214,sleep,0.77525639534
2018-11-22T14:22:34.502Z,2432,sleep,1.8800001
2019-07-04T13:22:03.490Z,4612,mood,1.76
2018-10-25T21:44:22.369Z,3782,sleep,0.6400001
2018-12-22T20:57:58.839Z,2012,mood,0.0
2018-10-25T12:04:08.347Z,4209,mood,1.8800001
2019-03-18T12:42:15.996Z,2012,mood,4.0
2019-04-24T13:34:22.130Z,3782,sleep,2.96
2018-11-11T13:03:03.144Z,7329,mood,4.0
2019-03-25T21:52:35.902Z,1371,sleep,3.61108922958
2018-10-12T17:02:25.918Z,2025,sleep,1.0
2019-04-15T12:19:08.137Z,1371,anticipatoryStress,4.0
2019-06-23T03:39:34.592Z,1534,mood,3.2
2019-06-10T14:53:26.789Z,1074,mood,0.847713947296
2018-09-27T11:37:36.200Z,2025,mood,3.65647649765
2019-06-10T11:38:31.099Z,1074,mood,4.0
2019-01-19T18:02:27.282Z,1822,mood,4.0
2018-10-30T13:38:10.873Z,3314,ruminationStress,3.8
2018-11-20T14:15:07.444Z,1714,sleep,3.0
2019-04-07T00:01:40.911Z,2012,mood,3.96
2019-01-22T17:22:48.888Z,5924,sleep,4.0
2019-02-14T13:22:51.365Z,7702,sleep,3.6327521801
2019-07-15T15:19:35.603Z,1822,sleep,2.08
2019-06-14T12:19:57.159Z,2012,mood,4.0
2019-05-30T12:08:15.514Z,8086,mood,3.793227911
2018-11-04T23:21:58.189Z,2012,sleep,2.1599998
2018-10-13T15:28:31.115Z,1044,sleep,3.8
2019-04-03T13:35:14.950Z,6445,mood,2.42544126511
2018-10-28T14:26:54.434Z,2012,sleep,2.04
2018-10-22T13:48:21.284Z,1044,mood,2.85034561157
2019-06-06T15:11:19.131Z,2703,ruminationStress,3.47654175758
2018-10-14T14:58:22.815Z,2435,ruminationStress,4.0
2018-10-29T12:21:22.992Z,2802,mood,0.184983491898
2019-02-01T11:30:23.991Z,7328,mood,3.2
2018-10-31T14:45:21.813Z,6928,anticipatoryStress,3.0
2019-04-22T13:44:23.102Z,2432,sleep,3.17680096626
2019-05-23T19:59:40.100Z,5333,sleep,2.72
2018-09-18T17:02:10.874Z,1044,sleep,1.20481348038
2019-03-18T13:09:31.941Z,1506,sleep,4.0
2018-10-06T08:43:10.536Z,2666,mood,2.6799998
2019-04-12T12:06:12.638Z,5333,sleep,3.6
2019-04-03T12:15:50.343Z,2012,sleep,2.24
2019-06-07T12:14:59.150Z,1044,mood,4.0
2019-01-01T20:04:53.402Z,6299,mood,1.07711100578
2019-03-21T13:16:29.393Z,2198,mood,0.0
2019-02-07T04:13:19.041Z,1342,mood,4.0
2018-09-28T12:05:54.278Z,3044,mood,1.76
2018-10-29T13:41:03.737Z,2802,mood,2.28239607811
